C1,sigma,Gain,BW,Power
9.9999998245167e-14,0.9999984502792358,0.03293773531913757,14350422016.0,0.02507614903151989
1.005004998493042e-13,0.9999984502792358,0.03263884782791138,14350349312.0,0.02507617697119713
1.010010014534414e-13,0.9999984502792358,0.03233964741230011,14350276608.0,0.025076206773519516
1.015015030575786e-13,0.9999984502792358,0.032041385769844055,14350202880.0,0.025076236575841904
1.020020046617158e-13,0.9999984502792358,0.031743429601192474,14350135296.0,0.025076262652873993
1.0250249948958942e-13,0.9999984502792358,0.031444232910871506,14350055424.0,0.025076288729906082
1.0300300109372662e-13,0.9999984502792358,0.031145034357905388,14349988864.0,0.02507631853222847
1.0350350269786382e-13,0.9999984502792358,0.030846457928419113,14349912064.0,0.025076348334550858
1.0400400430200102e-13,0.9999984502792358,0.0305444598197937,14349834240.0,0.025076372548937798
1.0450450590613822e-13,0.9999984502792358,0.030248839408159256,14349768704.0,0.025076398625969887
1.0500500751027542e-13,0.9999984502792358,0.029951196163892746,14349699072.0,0.025076426565647125
1.0550550233814904e-13,0.9999984502792358,0.029650285840034485,14349629440.0,0.02507646009325981
1.0600600394228624e-13,0.9999985694885254,0.02935170941054821,14349551616.0,0.0250764861702919
1.0650650554642344e-13,0.9999985694885254,0.029052356258034706,14349479936.0,0.02507651410996914
1.0700700715056063e-13,0.9999985694885254,0.028753314167261124,14349406208.0,0.02507654018700123
1.0750750875469783e-13,0.9999985694885254,0.028453337028622627,14349340672.0,0.025076573714613914
1.0800801035883503e-13,0.9999985694885254,0.028155071660876274,14349268992.0,0.025076601654291153
1.0850850518670865e-13,0.9999985694885254,0.027856184169650078,14349195264.0,0.025076624006032944
1.0900900679084585e-13,0.9999985694885254,0.027558229863643646,14349123584.0,0.02507665380835533
1.0950950839498305e-13,0.9999985694885254,0.027257632464170456,14349053952.0,0.02507667988538742
1.1001000999912025e-13,0.9999985694885254,0.026960454881191254,14348980224.0,0.02507670596241951
1.1051051160325745e-13,0.9999985694885254,0.026660168543457985,14348904448.0,0.02507673017680645
1.1101101320739465e-13,0.9999985694885254,0.02636268176138401,14348836864.0,0.025076761841773987
1.1151151481153185e-13,0.9999985694885254,0.026062704622745514,14348766208.0,0.025076791644096375
1.1201200963940547e-13,0.9999985694885254,0.025763973593711853,14348698624.0,0.025076821446418762
1.1251251124354267e-13,0.9999985694885254,0.025464152917265892,14348622848.0,0.025076845660805702
1.1301301284767987e-13,0.9999985694885254,0.025167597457766533,14348548096.0,0.02507687546312809
1.1351351445181707e-13,0.9999985694885254,0.0248663779348135,14348472320.0,0.02507690154016018
