C2,sigma,Gain,BW,Power
4.99999991225835e-14,0.9999985694885254,3.8600404262542725,25079160832.0,0.025038765743374825
5.02502499246521e-14,0.9999985694885254,3.8532447814941406,25041182720.0,0.025039220228791237
5.05005007267207e-14,0.9999985694885254,3.846452236175537,25003208704.0,0.02503967098891735
5.07507515287893e-14,0.9999985694885254,3.8396570682525635,24965230592.0,0.025040127336978912
5.10010023308579e-14,0.9999985694885254,3.83286452293396,24927260672.0,0.02504057064652443
5.125124974479471e-14,0.9999985694885254,3.826070785522461,24889284608.0,0.025041023269295692
5.150150054686331e-14,0.9999986886978149,3.8192784786224365,24851302400.0,0.025041481480002403
5.175175134893191e-14,0.9999986886978149,3.812483787536621,24813326336.0,0.025041930377483368
5.200200215100051e-14,0.9999986886978149,3.805691719055176,24775352320.0,0.02504238486289978
5.225225295306911e-14,0.9999986886978149,3.7988994121551514,24737374208.0,0.025042831897735596
5.250250375513771e-14,0.9999986886978149,3.792104721069336,24699398144.0,0.025043288245797157
5.275275116907452e-14,0.9999986886978149,3.785311222076416,24661426176.0,0.02504373900592327
5.300300197114312e-14,0.9999986886978149,3.7785167694091797,24623443968.0,0.025044191628694534
5.325325277321172e-14,0.9999986886978149,3.771723985671997,24585469952.0,0.0250446405261755
5.350350357528032e-14,0.9999986886978149,3.7649290561676025,24547491840.0,0.02504509687423706
5.3753754377348917e-14,0.9999986886978149,3.7581369876861572,24509521920.0,0.025045545771718025
5.4004005179417516e-14,0.9999986886978149,3.7512223720550537,24472168448.0,0.025046152994036674
5.4254252593354327e-14,0.9999986886978149,3.7442972660064697,24434880512.0,0.025046763941645622
5.4504503395422926e-14,0.9999986886978149,3.7373712062835693,24397594624.0,0.025047382339835167
5.4754754197491526e-14,0.9999986886978149,3.73044753074646,24360306688.0,0.025047995150089264
5.5005004999560125e-14,0.9999986886978149,3.7235214710235596,24323024896.0,0.02504861168563366
5.5255255801628725e-14,0.9999986886978149,3.7165963649749756,24285736960.0,0.025049226358532906
5.5505506603697324e-14,0.9999986886978149,3.709669589996338,24248453120.0,0.0250498466193676
5.5755757405765924e-14,0.9999986886978149,3.702742338180542,24211173376.0,0.025050457566976547
