C1,Ld,sigma,Gain,BW,Power
9.9999998245167e-14,7.999999968033578e-11,0.9999922513961792,3.7575809955596924,14742913024.0,0.025117862969636917
1.1020408218799516e-13,7.999999968033578e-11,0.9999927282333374,3.7574851512908936,14737054720.0,0.025121740996837616
1.2040815935455973e-13,7.999999968033578e-11,0.999993085861206,3.7571158409118652,14730643456.0,0.02512473240494728
1.3061225007365146e-13,7.999999968033578e-11,0.9999935626983643,3.7558693885803223,14723170304.0,0.025126434862613678
1.4081632724021603e-13,7.999999968033578e-11,0.9999939203262329,3.7549068927764893,14714740736.0,0.025127410888671875
1.510204044067806e-13,7.999999968033578e-11,0.9999942779541016,3.754427909851074,14704949248.0,0.02512735314667225
1.6122449512587234e-13,7.999999968033578e-11,0.9999946355819702,3.754246234893799,14694756352.0,0.025128306820988655
1.714285722924369e-13,7.999999968033578e-11,0.9999949932098389,3.752662181854248,14685517824.0,0.025128325447440147
1.8163264945900148e-13,7.999999968033578e-11,0.9999953508377075,3.7483069896698,14680154112.0,0.0251300185918808
1.918367401780932e-13,7.999999968033578e-11,0.9999955892562866,3.7440199851989746,14675318784.0,0.025131160393357277
2.0204081734465779e-13,7.999999968033578e-11,0.9999958276748657,3.7397897243499756,14670927872.0,0.02513185888528824
2.1224489451122236e-13,7.999999968033578e-11,0.9999961853027344,3.7359769344329834,14667364352.0,0.025132203474640846
2.224489852303141e-13,7.999999968033578e-11,0.9999964237213135,3.7330615520477295,14665589760.0,0.025131765753030777
2.3265306239687866e-13,7.999999968033578e-11,0.9999966621398926,3.730149269104004,14663822336.0,0.025131331756711006
2.4285713956344324e-13,7.999999968033578e-11,0.9999967813491821,3.727536678314209,14661175296.0,0.025130804628133774
2.530612167300078e-13,7.999999968033578e-11,0.9999970197677612,3.7261240482330322,14659246080.0,0.025126073509454727
2.632652938965724e-13,7.999999968033578e-11,0.9999972581863403,3.725303888320923,14659592192.0,0.02512393891811371
2.7346939816819127e-13,7.999999968033578e-11,0.9999974966049194,3.7248382568359375,14658895872.0,0.02512625977396965
2.8367347533475584e-13,7.999999968033578e-11,0.999997615814209,3.7243752479553223,14658209792.0,0.025128573179244995
2.938775525013204e-13,7.999999968033578e-11,0.9999977350234985,3.72391676902771,14657511424.0,0.02513062208890915
3.04081629667885e-13,7.999999968033578e-11,0.9999979734420776,3.723693370819092,14657419264.0,0.025129646062850952
3.1428570683444956e-13,7.999999968033578e-11,0.9999980926513672,3.7232766151428223,14658040832.0,0.02512863092124462
3.2448978400101414e-13,7.999999968033578e-11,0.9999982118606567,3.722832441329956,14658121728.0,0.025127243250608444
3.34693888272633e-13,7.999999968033578e-11,0.9999983310699463,3.7236075401306152,14658558976.0,0.025124935433268547
3.448979654391976e-13,7.999999968033578e-11,0.9999984502792358,3.7243826389312744,14658994176.0,0.02512262761592865
3.5510204260576217e-13,7.999999968033578e-11,0.9999985694885254,3.7251577377319336,14659430400.0,0.025120317935943604
3.6530611977232674e-13,7.999999968033578e-11,0.9999986886978149,3.725935220718384,14659864576.0,0.025118013843894005
3.755101969388913e-13,7.999999968033578e-11,0.9999988079071045,3.726710081100464,14660296704.0,0.025115707889199257
