Ld,sigma,Gain,BW,Power
7.999999968033578e-11,0.9999985694885254,3.724771499633789,14659203072.0,0.025121474638581276
8.05005020976246e-11,0.9999985694885254,3.7373595237731934,14650949632.0,0.025122934952378273
8.100099757601953e-11,0.9999985694885254,3.7499473094940186,14642692096.0,0.02512439712882042
8.150149999330836e-11,0.9999985694885254,3.7625350952148438,14634428416.0,0.025125863030552864
8.200200241059719e-11,0.9999985694885254,3.77512264251709,14626168832.0,0.025127317756414413
8.250250482788601e-11,0.9999985694885254,3.7878198623657227,14618326016.0,0.025128670036792755
8.300300030628094e-11,0.9999985694885254,3.800853729248047,14611808256.0,0.025129659101366997
8.350350272356977e-11,0.9999985694885254,3.8138885498046875,14605283328.0,0.025130651891231537
8.40040051408586e-11,0.9999985694885254,3.8269236087799072,14598760448.0,0.02513163536787033
8.450450755814742e-11,0.9999985694885254,3.8399581909179688,14592247808.0,0.02513262815773487
8.500500303654235e-11,0.9999985694885254,3.8529937267303467,14585714688.0,0.02513362281024456
8.550550545383118e-11,0.9999985694885254,3.8660266399383545,14579191808.0,0.025134610012173653
8.600600787112e-11,0.9999985694885254,3.8790621757507324,14572668928.0,0.025135599076747894
8.650650334951493e-11,0.9999985694885254,3.892097234725952,14566150144.0,0.025136591866612434
8.700700576680376e-11,0.9999985694885254,3.9051311016082764,14559624192.0,0.025137584656476974
8.750750818409259e-11,0.9999985694885254,3.9183990955352783,14553393152.0,0.025138186290860176
8.800801060138141e-11,0.9999985694885254,3.9316906929016113,14547185664.0,0.025138752534985542
8.850850607977634e-11,0.9999985694885254,3.944981098175049,14540995584.0,0.02513931877911091
8.900900849706517e-11,0.9999985694885254,3.958272933959961,14534794240.0,0.025139877572655678
8.9509510914354e-11,0.9999985694885254,3.9715652465820312,14528589824.0,0.025140441954135895
9.001001333164282e-11,0.9999985694885254,3.980769634246826,14523685888.0,0.025141999125480652
9.051050881003775e-11,0.9999985694885254,3.989068031311035,14519062528.0,0.025143787264823914
9.101101122732658e-11,0.9999985694885254,3.997361421585083,14514442240.0,0.025145571678876877
9.15115136446154e-11,0.9999985694885254,4.0056586265563965,14509826048.0,0.02514735981822014
9.201200912301033e-11,0.9999985694885254,4.012716293334961,14505465856.0,0.025149118155241013
9.251251154029916e-11,0.9999985694885254,4.019501686096191,14501161984.0,0.02515086531639099
9.301301395758799e-11,0.9999985694885254,4.026345252990723,14497083392.0,0.0251527838408947
9.351351637487682e-11,0.9999985694885254,4.033443927764893,14493977600.0,0.025155358016490936
9.401401185327174e-11,0.9999985694885254,4.040543079376221,14490861568.0,0.02515794150531292
9.451451427056057e-11,0.9999985694885254,4.047642230987549,14487760896.0,0.025160521268844604
9.50150166878494e-11,0.9999985694885254,4.054739952087402,14484656128.0,0.02516310103237629
9.551551216624432e-11,0.9999985694885254,4.062685012817383,14482780160.0,0.025164984166622162
9.601601458353315e-11,0.9999985694885254,4.071375846862793,14481992704.0,0.025166265666484833
9.651651700082198e-11,0.9999985694885254,4.08006477355957,14481202176.0,0.0251675546169281
9.70170194181108e-11,0.9999985694885254,4.088756561279297,14480415744.0,0.025168830528855324
9.751751489650573e-11,0.9999985694885254,4.097569942474365,14479610880.0,0.02517009526491165
9.801801731379456e-11,0.9999985694885254,4.106407642364502,14478785536.0,0.025171348825097084
9.851851973108339e-11,0.9999985694885254,4.112839221954346,14477101056.0,0.025172583758831024
9.901902214837222e-11,0.9999985694885254,4.115569114685059,14474579968.0,0.025173529982566833
9.951951762676714e-11,0.9999985694885254,4.118301868438721,14472068096.0,0.02517448365688324
1.0002002004405597e-10,0.9999985694885254,4.12103271484375,14469545984.0,0.025175414979457855
1.005205224613448e-10,0.9999985694885254,4.1237616539001465,14467023872.0,0.02517636865377426
1.0102101793973972e-10,0.9999986886978149,4.12649393081665,14464506880.0,0.025177307426929474
1.0152152035702855e-10,0.9999986886978149,4.129225254058838,14461986816.0,0.025178249925374985
1.0202202277431738e-10,0.9999986886978149,4.131956577301025,14459472896.0,0.025179188698530197
1.025225251916062e-10,0.9999986886978149,4.134687423706055,14456952832.0,0.025180134922266006
1.0302302067000113e-10,0.9999986886978149,4.137482166290283,14454529024.0,0.02518102154135704
1.0352352308728996e-10,0.9999986886978149,4.140463829040527,14452418560.0,0.025181716307997704
1.0402402550457879e-10,0.9999986886978149,4.143448352813721,14450289664.0,0.02518242411315441
1.0452452792186762e-10,0.9999986886978149,4.146430492401123,14448164864.0,0.02518312819302082
1.0502502340026254e-10,0.9999986886978149,4.149414539337158,14446053376.0,0.025183826684951782
1.0552552581755137e-10,0.9999986886978149,4.152444362640381,14443984896.0,0.02518456242978573
1.060260282348402e-10,0.9999986886978149,4.156464099884033,14443020288.0,0.025185979902744293
1.0652652371323512e-10,0.9999986886978149,4.160480976104736,14442055680.0,0.025187399238348007
1.0702702613052395e-10,0.9999986886978149,4.164499759674072,14441084928.0,0.025188807398080826
1.0752752854781278e-10,0.9999986886978149,4.162871837615967,14439019520.0,0.02518724650144577
1.0802803096510161e-10,0.9999986886978149,4.159201145172119,14435470336.0,0.02518507093191147
1.0852852644349653e-10,0.9999986886978149,4.154273986816406,14429304832.0,0.025184184312820435
1.0902902886078536e-10,0.9999986886978149,4.14934778213501,14423138304.0,0.025183293968439102
1.0952953127807419e-10,0.9999986886978149,4.144421100616455,14416968704.0,0.025182394310832024
1.1003002675646911e-10,0.9999986886978149,4.139495372772217,14410801152.0,0.025181513279676437
1.1053052917375794e-10,0.9999986886978149,4.134566783905029,14404628480.0,0.025180626660585403
